 AC NAME , TOTAL ELECTORS , GENERAL , POSTAL , TOTAL , % VOTES POLLED 
Padampur,255445,200673,1056,201729,78.97159858
Bijepur,232190,184069,955,185024,79.68646367
Bargarh,221922,160804,836,161640,72.83640198
Attabira ,221469,170613,914,171527,77.44966564
Bhatli,230719,185308,709,186017,80.62491602
Brajarajnagar,211290,163801,786,164587,77.89625633
Jharsuguda,223255,175447,740,176187,78.91738147
Talsara ,206865,152925,365,153290,74.10146714
Sundargarh ,232017,173873,473,174346,75.14363172
Biramitrapur ,234559,175569,254,175823,74.95896555
